cell_id,distance_to_drainage_km,distance_to_fault_km
SKM_00001,1.602707,1.506432
SKM_00002,0.214138,2.190121
SKM_00003,1.048339,2.467261
SKM_00004,2.032928,2.744402
SKM_00005,1.518995,2.596669
SKM_00006,0.99299,2.87381
SKM_00007,0.124525,3.15095
SKM_00008,0.991857,3.428091
SKM_00009,1.913677,3.705231
SKM_00010,2.167368,3.557499
SKM_00011,1.235142,3.834639
SKM_00012,0.247839,4.11178
SKM_00013,0.694032,4.38892
SKM_00014,1.015827,4.666061
SKM_00015,1.484675,4.943201
SKM_00016,5.116958,3.988244
SKM_00017,4.711443,4.112919
SKM_00018,3.102631,4.36227
SKM_00019,2.105097,4.520834
SKM_00020,1.105114,4.795469
SKM_00021,0.105434,5.072609
SKM_00022,0.185177,5.349749
SKM_00023,0.13875,5.62689
SKM_00024,0.691462,5.90403
SKM_00025,1.615094,6.181171
SKM_00026,6.474436,4.855766
SKM_00027,6.015574,4.980441
SKM_00028,5.200111,5.105117
SKM_00029,4.221058,5.229792
SKM_00030,3.254767,5.354468
SKM_00031,2.317258,5.495821
SKM_00032,1.347972,5.756298
SKM_00033,0.352432,6.033438
SKM_00034,0.643108,6.310579
SKM_00035,0.741714,6.587719
SKM_00036,0.82551,6.86486
SKM_00037,1.676865,7.142
SKM_00038,3.615618,7.696281
SKM_00039,3.478579,7.973422
SKM_00040,3.365529,8.250562
SKM_00041,3.080371,8.527702
SKM_00042,3.20999,9.359124
SKM_00043,3.561097,9.636264
SKM_00044,6.868158,5.847963
SKM_00045,6.053201,5.972639
SKM_00046,5.232791,6.097314
SKM_00047,4.256652,6.22199
SKM_00048,3.264768,6.346665
SKM_00049,2.275447,6.478438
SKM_00050,1.283802,6.717127
SKM_00051,0.326188,6.994268
SKM_00052,0.578037,7.271408
SKM_00053,1.578001,7.548549
SKM_00054,1.698474,7.825689
SKM_00055,2.23947,8.10283
SKM_00056,3.024175,8.37997
SKM_00057,2.753232,8.657111
SKM_00058,2.486291,8.934251
SKM_00059,2.401911,9.211391
SKM_00060,2.180538,9.488532
SKM_00061,1.838994,9.765672
SKM_00062,1.953418,10.042813
SKM_00063,2.24865,10.319953
SKM_00064,2.710938,10.597094
