cell_id,ndvi_mean
SKM_00001,0.102132
SKM_00002,0.112841
SKM_00003,0.105795
SKM_00004,0.094988
SKM_00005,0.127379
SKM_00006,0.130741
SKM_00007,0.130657
SKM_00008,0.11766
SKM_00009,0.121127
SKM_00010,0.113173
SKM_00011,0.111063
SKM_00012,0.132036
SKM_00013,0.133478
SKM_00014,0.125821
SKM_00015,0.106113
SKM_00016,0.032282
SKM_00017,0.028822
SKM_00018,0.016659
SKM_00019,0.079205
SKM_00020,0.095749
SKM_00021,0.171208
SKM_00022,0.144355
SKM_00023,0.140436
SKM_00024,0.112929
SKM_00025,0.11838
SKM_00026,0.001615
SKM_00027,0.03434
SKM_00028,0.068716
SKM_00029,0.059359
SKM_00030,0.050613
SKM_00031,0.071521
SKM_00032,0.097011
SKM_00033,0.226926
SKM_00034,0.136556
SKM_00035,0.186653
SKM_00036,0.148452
SKM_00037,0.117182
SKM_00038,0.105244
SKM_00039,0.085423
SKM_00040,0.081962
SKM_00041,0.113725
SKM_00042,0.177008
SKM_00043,0.164762
SKM_00044,0.008246
SKM_00045,0.050194
SKM_00046,0.093415
SKM_00047,0.127381
SKM_00048,0.101666
SKM_00049,0.040309
SKM_00050,0.077691
SKM_00051,0.163389
SKM_00052,0.136327
SKM_00053,0.167317
SKM_00054,0.149693
SKM_00055,0.107641
SKM_00056,0.065997
SKM_00057,0.100363
SKM_00058,0.125887
SKM_00059,0.125418
SKM_00060,0.138305
SKM_00061,0.135724
SKM_00062,0.117532
SKM_00063,0.13269
SKM_00064,0.131244
SKM_00065,0.111842
SKM_00066,
SKM_00067,0.046454
SKM_00068,0.07339
SKM_00069,0.139485
SKM_00070,0.196358
SKM_00071,0.163625
SKM_00072,0.122304
SKM_00073,0.153068
SKM_00074,0.154947
SKM_00075,0.141712
SKM_00076,0.134221
SKM_00077,0.12832
SKM_00078,0.124796
SKM_00079,0.121702
SKM_00080,0.117338
SKM_00081,0.128416
SKM_00082,0.133224
SKM_00083,0.133864
SKM_00084,0.110449
SKM_00085,0.092301
SKM_00086,0.157894
SKM_00087,0.15407
SKM_00088,0.263458
SKM_00089,
SKM_00090,0.089768
SKM_00091,
SKM_00092,0.046521
SKM_00093,0.055007
SKM_00094,0.155733
SKM_00095,0.187004
SKM_00096,0.21054
SKM_00097,0.166486
SKM_00098,0.052441
SKM_00099,-0.083137
SKM_00100,0.140219
SKM_00101,0.121884
SKM_00102,0.12041
SKM_00103,0.095298
SKM_00104,0.093349
SKM_00105,0.100163
SKM_00106,0.100705
SKM_00107,0.088868
SKM_00108,0.124539
SKM_00109,0.166119
SKM_00110,0.099992
