feature_id,osm_id,osm_name,osm_ref,osm_fclass,entity_key,total_length_km,status,risk_level,current_high_cell_count,current_severe_cell_count,current_exposed_cell_count,current_exposed_length_km,24h_high_cell_count,24h_severe_cell_count,24h_exposed_cell_count,24h_exposed_length_km,48h_high_cell_count,48h_severe_cell_count,48h_exposed_cell_count,48h_exposed_length_km,72h_high_cell_count,72h_severe_cell_count,72h_exposed_cell_count,72h_exposed_length_km
OSM-ROAD-1267993910,1267993910,,,service,osm:1267993910:0,2.639,HIGH RISK,HIGH,2,0,2,0.879,2,0,2,0.879,2,0,2,0.879,2,0,2,0.879
OSM-ROAD-44848710,44848710,,SH,primary,ref:sh,2.19,HIGH RISK,HIGH,1,0,1,0.739,1,0,1,0.739,1,0,1,0.739,1,0,1,0.739
OSM-ROAD-84994684,84994684,,NH710,trunk,ref:nh710,7.109,HIGH RISK,HIGH,2,0,2,2.744,2,0,2,2.744,2,0,2,2.744,2,0,2,2.744
OSM-ROAD-1270819641,1270819641,,SH,primary,ref:sh,0.024,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246723720,1246723720,,,unclassified,osm:1246723720:4,0.059,HIGH RISK,HIGH,1,0,1,0.059,1,0,1,0.059,1,0,1,0.059,1,0,1,0.059
OSM-ROAD-1246723718,1246723718,,,unclassified,osm:1246723718:5,0.076,HIGH RISK,HIGH,1,0,1,0.076,1,0,1,0.076,1,0,1,0.076,1,0,1,0.076
OSM-ROAD-606048435,606048435,,,unclassified,osm:606048435:6,2.31,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246723717,1246723717,,,unclassified,osm:1246723717:7,0.062,HIGH RISK,HIGH,1,0,1,0.062,1,0,1,0.062,1,0,1,0.062,1,0,1,0.062
OSM-ROAD-1246723716,1246723716,,,unclassified,osm:1246723716:8,0.093,HIGH RISK,HIGH,1,0,1,0.093,1,0,1,0.093,1,0,1,0.093,1,0,1,0.093
OSM-ROAD-1266842932,1266842932,,,service,osm:1266842932:9,0.049,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1265059937,1265059937,,,unclassified,osm:1265059937:10,0.172,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1266842934,1266842934,,,service,osm:1266842934:11,0.148,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
