settlement_id,osm_id,name,settlement_type,latitude,longitude,cell_id,operational_risk_index,risk_level,operational_risk_index_24h,risk_level_24h,operational_risk_index_48h,risk_level_48h,operational_risk_index_72h,risk_level_72h,potentially_exposed,potentially_exposed_24h,potentially_exposed_48h,potentially_exposed_72h,population,population_source,exposure_semantics
OSM-SETTLEMENT-1477920206,1477920206,Manpur,village,27.102518,88.3633,SKM_07364,29.1,MODERATE,30.4,MODERATE,28.3,MODERATE,23.7,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1477987345,1477987345,Sumbuk,village,27.116036,88.38136,SKM_07327,23.6,MODERATE,24.9,MODERATE,22.8,MODERATE,18.2,LOW,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1477920201,1477920201,Jorethang,town,27.131523,88.282535,SKM_07285,34.9,MODERATE,35.8,MODERATE,34.3,MODERATE,29.5,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098423,342098423,Naya Bazaar,village,27.13211,88.276141,SKM_07284,26.7,MODERATE,27.6,MODERATE,26.1,MODERATE,21.3,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5526569892,5526569892,Chumbong,village,27.136309,88.236861,SKM_07234,30.4,MODERATE,31.6,MODERATE,29.9,MODERATE,25.2,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5528237369,5528237369,Zoom,village,27.145011,88.26335,SKM_07188,27.2,MODERATE,28.2,MODERATE,26.6,MODERATE,21.9,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-5526614760,5526614760,Chakung,village,27.150295,88.253378,SKM_07187,27.2,MODERATE,28.5,MODERATE,26.7,MODERATE,22.0,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-1477987344,1477987344,Phong,village,27.154136,88.437475,SKM_07155,60.3,HIGH,61.5,HIGH,59.3,HIGH,54.8,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-4217506952,4217506952,Assangthang,village,27.155038,88.32857,SKM_07144,28.5,MODERATE,29.4,MODERATE,27.7,MODERATE,23.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098434,342098434,Rumdin,locality,27.136254,88.172268,SKM_07228,62.5,HIGH,63.8,HIGH,61.7,HIGH,57.2,HIGH,True,True,True,True,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342098365,342098365,Mangsar,locality,27.14722,88.19824,SKM_07181,26.4,MODERATE,27.6,MODERATE,25.7,MODERATE,21.1,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
OSM-SETTLEMENT-342104474,342104474,Begha,locality,27.25983,88.11997,SKM_06327,26.9,MODERATE,27.8,MODERATE,25.3,MODERATE,21.8,MODERATE,False,False,False,False,,unavailable,potential GIS exposure; not confirmed affected
